Reference, Quantity, Value, Footprint, Datasheet, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Field4
C1 C3 C4 C2 C8 C12 C19 C21 C27 C26 C28 C30 C29 C32 C35 C39 C41 C36 C38 C45 C44 C46 C43 C42 C51 C49 C48 ,27,"100n","Capacitor_SMD:C_0805_2012Metric",""
C10 C7 C50 ,3,"10u","Capacitor_SMD:C_0805_2012Metric","~"
C14 C15 C17 C18 C16 C23 C24 ,7,"1n","Capacitor_SMD:C_0805_2012Metric","~"
C31 C40 ,2,"2.2u","Capacitor_SMD:C_0805_2012Metric","~"
C34 ,1,"1n/2000V","Capacitor_SMD:C_1206_3216Metric","~"
C47 ,1,"10n","Capacitor_SMD:C_0805_2012Metric","~"
C5 C11 C9 C20 C25 C37 ,6,"22u","Capacitor_SMD:C_0805_2012Metric","~"
C6 C13 C22 C33 ,4,"560u","Capacitor_SMD:CP_Elec_10x10.5","~"
D10 ,1,"BAT54C","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/_files/datasheets/ds11005.pdf"
D2 ,1,"LED/yellow","LED_SMD:LED_0805_2012Metric","~"
D5 ,1,"LED/red","LED_SMD:LED_0805_2012Metric_Castellated","~"
D7 D8 D11 ,3,"SD0805S020S1R0","Diode_SMD:D_0805_2012Metric","~"
D9 ,1,"LED/green","LED_SMD:LED_0805_2012Metric","~"
F1 ,1,"12A/slow","ICs_own:Fuse_1206_3216Metric","~"
FB1 ,1,"600R/2A","Inductor_SMD:L_0805_2012Metric","~"
H2 H3 H1 H4 ,4,"MountingHole","MountingHole:MountingHole_4.3mm_M4_DIN965",""
H5 H8 H7 H6 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965",""
IC1 ,1,"FXL6408UMX","ICs_own:QFN40P180X260X55-16N","https://pt.mouser.com/datasheet/2/308/FXL6408-1301001.pdf","Fully Configurable 8-Bit I2C-Controlled GPIO Expander","0.55","ON Semiconductor","FXL6408UMX","512-FXL6408UMX","",""
IC2 ,1,"ATA6561-GAQW-N","ICs_own:SOIC127P600X175-8N","https://componentsearchengine.com/Datasheets/1/ATA6561-GAQW-N.pdf","MICROCHIP - ATA6561-GAQW-N - CAN TRANSCEIVER, 5MBPS, -40 TO 150DEG C","1.75","Microchip","ATA6561-GAQW-N","579-ATA6561-GAQW-N","https://www.mouser.com/Search/Refine.aspx?Keyword=579-ATA6561-GAQW-N",""
